ticker,effective_date,era,era_lo,win_start,win_end,n_days_wide,car_eff,car_wide
PTC,2021-04-20,2020–present,2020,2021-04-09,2021-04-21,9,-0.010916407295850195,-0.035293748567484795
NXPI,2021-03-22,2020–present,2020,2021-03-11,2021-03-23,9,-0.03282114796800206,0.06767146347601938
PENN,2021-03-22,2020–present,2020,2021-03-11,2021-03-23,9,0.0025332391086219097,-0.08705436134309075
GNRC,2021-03-22,2020–present,2020,2021-03-11,2021-03-23,9,-0.008478413144639929,-0.0344048657972118
CZR,2021-03-22,2020–present,2020,2021-03-11,2021-03-23,9,-0.06576483303754399,-0.14985058978190446
MPWR,2021-02-12,2020–present,2020,2021-02-03,2021-02-16,9,0.03209173260382969,0.009004868341473848
TRMB,2021-01-21,2020–present,2020,2021-01-11,2021-01-22,9,0.011877237942574226,-0.025024433675345015
ENPH,2021-01-07,2020–present,2020,2020-12-28,2021-01-08,9,0.11547218634545908,0.11230356049230938
VNT,2020-10-09,2020–present,2020,2020-09-30,2020-10-12,9,-0.22680412110655157,-0.13061525496668525
POOL,2020-10-07,2020–present,2020,2020-09-28,2020-10-08,9,0.02757770595935216,0.03469041581226484
ETSY,2020-09-21,2020–present,2020,2020-09-10,2020-09-22,9,0.10243992292896964,0.08308696838028395
TER,2020-09-21,2020–present,2020,2020-09-10,2020-09-22,9,-0.0013778842543883396,0.02072094037673744
BIO,2020-06-22,2020–present,2020,2020-06-11,2020-06-23,9,-0.010486756716616363,-0.01889113349505589
TDY,2020-06-22,2020–present,2020,2020-06-11,2020-06-23,9,-0.0377212334968291,-0.11359805555036806
TYL,2020-06-22,2020–present,2020,2020-06-11,2020-06-23,9,-0.02861570532375768,-0.06699239867886808
WST,2020-05-22,2020–present,2020,2020-05-13,2020-05-26,9,-0.02686343528177093,-0.040242393697734635
DPZ,2020-05-12,2020–present,2020,2020-05-01,2020-05-13,9,0.07988235934641941,0.0929544014836734
DXCM,2020-05-12,2020–present,2020,2020-05-01,2020-05-13,9,0.04269963760340878,0.23197422032790205
OTIS,2020-04-03,2020–present,2020,2020-03-25,2020-04-06,9,-0.08731188195373007,0.06365269646179839
CARR,2020-04-03,2020–present,2020,2020-03-25,2020-04-06,9,-0.00676954543256536,0.26726291823338566
HWM,2020-04-01,2020–present,2020,2020-03-23,2020-04-02,9,0.03485376603707602,0.14993329065703775
IR,2020-03-02,2020–present,2020,2020-02-20,2020-03-03,9,-0.06810136695387659,-0.05148217319957371
PAYC,2020-01-28,2020–present,2020,2020-01-16,2020-01-29,9,0.029384011935461363,0.11379878412964761
LYV,2019-12-23,2015–2019,2015,2019-12-12,2019-12-24,9,0.005587790481952126,-0.0022076014923309017
ZBRA,2019-12-23,2015–2019,2015,2019-12-12,2019-12-24,9,-0.0010271692425015688,-0.035806103498948305
STE,2019-12-23,2015–2019,2015,2019-12-12,2019-12-24,9,0.01840447932083822,-0.03685679230018979
ODFL,2019-12-09,2015–2019,2015,2019-11-27,2019-12-10,9,0.01493936657318784,-0.030685146447162137
WRB,2019-12-05,2015–2019,2015,2019-11-25,2019-12-06,9,0.013127364784778717,0.018601841293102717
NOW,2019-11-21,2015–2019,2015,2019-11-12,2019-11-22,9,0.011412992116188625,0.11249813047796542
LVS,2019-10-03,2015–2019,2015,2019-09-24,2019-10-04,9,-0.025311850333663788,0.010269024334163879
NVR,2019-09-26,2015–2019,2015,2019-09-17,2019-09-27,9,0.030622689699935424,0.0265003251082343
CDW,2019-09-23,2015–2019,2015,2019-09-12,2019-09-24,9,-0.013174918031727212,0.06284894939212127
LDOS,2019-08-09,2015–2019,2015,2019-07-31,2019-08-12,9,0.030562912660280772,0.028413415314946566
IEX,2019-08-09,2015–2019,2015,2019-07-31,2019-08-12,9,0.025094063288701784,-0.0015462769513786556
TMUS,2019-07-15,2015–2019,2015,2019-07-03,2019-07-16,9,0.008455113147839532,0.03601981228480322
MKTX,2019-07-01,2015–2019,2015,2019-06-20,2019-07-02,9,0.028600441713218627,-0.01630448437079246
AMCR,2019-06-11,2015–2019,2015,2019-05-31,2019-06-12,9,0.0036864735502328827,-0.07336714604709893
BMS,2019-06-07,2015–2019,2015,2019-05-29,2019-06-10,9,-0.007350568385474987,-0.027261808495938067
DD,2019-06-03,2015–2019,2015,2019-05-22,2019-06-04,9,0.12546200189903467,0.12625712536957534
DOW,2019-04-02,2015–2019,2015,2019-03-22,2019-04-03,9,0.08489892269260157,0.14592870220522125
WAB,2019-02-27,2015–2019,2015,2019-02-15,2019-02-28,9,-0.058490259872612915,0.005961095930116289
ATO,2019-02-15,2015–2019,2015,2019-02-06,2019-02-19,9,-0.002997431981262788,-0.009629546988975113
TFX,2019-01-18,2015–2019,2015,2019-01-09,2019-01-22,9,0.028116969419604954,-0.003240309044268752
CE,2018-12-24,2015–2019,2015,2018-12-13,2018-12-26,9,-0.013614959973449747,0.058138129418391804
LW,2018-12-03,2015–2019,2015,2018-11-21,2018-12-04,9,-0.003248566801625219,-0.08855817908548846
FANG,2018-12-03,2015–2019,2015,2018-11-21,2018-12-04,9,-0.04838897512720086,-0.053933282586449804
JKHY,2018-11-13,2015–2019,2015,2018-11-02,2018-11-14,9,-0.014048960980987624,-0.08482722933439613
KEYS,2018-11-06,2015–2019,2015,2018-10-26,2018-11-07,9,0.02676393885140005,-0.0172493295769236
FTNT,2018-10-11,2015–2019,2015,2018-10-02,2018-10-12,9,0.00949075604207783,-0.08549530686583873
ROL,2018-10-01,2015–2019,2015,2018-09-20,2018-10-02,9,0.0009054342247818425,-0.05333068816698461
ANET,2018-08-28,2015–2019,2015,2018-08-17,2018-08-29,9,-0.03458448448515894,0.09911152731062955
CPRT,2018-07-02,2015–2019,2015,2018-06-21,2018-07-03,9,0.02352064332258319,-0.028845099017091647
BR,2018-06-18,2015–2019,2015,2018-06-07,2018-06-19,9,0.018335316987064143,-0.023477065562718225
EVRG,2018-06-05,2015–2019,2015,2018-05-24,2018-06-06,9,-0.06494697881282141,-0.04216031881011373
MSCI,2018-04-04,2015–2019,2015,2018-03-23,2018-04-05,9,-0.027485629343797724,-0.0707209889856647
TTWO,2018-03-19,2015–2019,2015,2018-03-08,2018-03-20,9,-0.02296191022999261,-0.048248890328940974
NKTR,2018-03-19,2015–2019,2015,2018-03-08,2018-03-20,9,0.060819911863581266,0.06347434871671132
IPGP,2018-03-07,2015–2019,2015,2018-02-26,2018-03-08,9,0.025881357324007093,0.009860280268647048
HII,2018-01-03,2015–2019,2015,2017-12-21,2018-01-04,9,-0.030015658787083344,-0.038922117906867726
NCLH,2017-10-13,2015–2019,2015,2017-10-04,2017-10-16,9,0.0009850906890256361,0.06541312406942312
CDNS,2017-09-18,2015–2019,2015,2017-09-07,2017-09-19,9,0.016459110295244495,-0.0027176637211482335
SBAC,2017-09-01,2015–2019,2015,2017-08-23,2017-09-05,9,-0.012450700925811464,0.03558943194097908
BHF,2017-08-08,2015–2019,2015,2017-07-28,2017-08-09,9,-0.12475396050436771,-0.17677541092506532
AOS,2017-07-26,2015–2019,2015,2017-07-17,2017-07-27,9,-0.024102655182563493,-0.06707780424091303
PKG,2017-07-26,2015–2019,2015,2017-07-17,2017-07-27,9,0.012807243931065582,-0.02915112169981371
RMD,2017-07-26,2015–2019,2015,2017-07-17,2017-07-27,9,0.0019732656138414795,-0.008212903847794495
MGM,2017-07-26,2015–2019,2015,2017-07-17,2017-07-27,9,-0.019148235844136163,0.039575705544411255
BKR,2017-07-07,2015–2019,2015,2017-06-27,2017-07-10,9,0.0015231287857671028,0.003940364425470078
HLT,2017-06-19,2015–2019,2015,2017-06-08,2017-06-20,9,-0.016268709965496786,-0.005824128167892795
ALGN,2017-06-19,2015–2019,2015,2017-06-08,2017-06-20,9,0.01927361594853194,-0.01499580783352883
IT,2017-04-05,2015–2019,2015,2017-03-27,2017-04-06,9,0.01345752499711439,0.00625942834864035
DXC,2017-04-04,2015–2019,2015,2017-03-24,2017-04-05,9,0.044491871131236316,0.06743616183144308
