ticker,bucket,offer_price,mcap_listing_b,reason,name,first_trade,mcap_src,mcap_conf,ritter_ticker,match_method
ACI,headline,16.0,7.664432,,Albertsons Cos Inc,2020-06-26,auto:edgar+ritter+yf,high,ACI,ticker+date
BZ,headline,19.0,7.599050304,,Kanzhun Ltd,2021-06-11,single:yf,low,BZ,ticker+date
KVYO,headline,30.0,7.555677494999999,,"Klaviyo, Inc.",2023-09-20,auto:ritter+yf,high,KVYO,ticker+date
MRNA,headline,23.0,7.5142319855,,Moderna Inc,2018-12-07,auto:edgar+yf,high,MRNA,ticker+date
MNDY,headline,155.0,7.3993745,,monday.com Ltd,2021-06-10,single:yf,low,MNDY,ticker+date
WEBR,headline,14.0,7.33842396,,Weber Inc,2021-08-05,ritter-anchor,med,WEBR,ticker+date
RELY,headline,43.0,6.998840648,,Remitly Global Inc,2021-09-23,auto:edgar+yf,high,RELY,ticker+date
ZNGA,headline,10.0,6.99343351,,Zynga Inc,2011-12-15,ritter-anchor,med,ZNGA,ticker+date
AVTR,headline,14.0,6.967768353,,Avantor Inc,2019-05-17,auto:edgar+yf,high,AVTR,ticker+date
COMP,headline,18.0,6.9646671,,Compass Inc,2021-04-01,auto:edgar+ritter+yf,high,COMP,ticker+date
KOS,headline,18.0,6.961239558,,Kosmos Energy Ltd,2011-05-10,auto:edgar+yf,high,KOS,ticker+date
MRVI,headline,27.0,6.955757415,,Maravai Lifesciences Hldg Inc,2020-11-20,ritter-anchor,med,MRVI,ticker+date
CRCL,headline,31.0,6.898743565,,"Circle Internet Group, Inc.",2025-06-05,ritter-anchor,med,CRCL,ticker+date
IHS,headline,21.0,6.886681556999999,,IHS Holding Ltd,2021-10-14,auto:edgar+yf,high,IHS,ticker+date
CRWD,headline,34.0,6.733325370999999,,Crowdstrike Holdings Inc,2019-06-12,auto:ritter+yf,high,CRWD,ticker+date
ROOT,headline,27.0,6.732464985,,Root Inc,2020-10-28,ritter-anchor,med,ROOT,ticker+date
LFST,headline,18.0,6.730178759999999,,LifeStance Health Group Inc,2021-06-10,auto:edgar+yf,high,LFST,ticker+date
VICI,headline,20.0,6.7040784,,VICI Properties Inc,2018-02-01,auto:edgar+yf,high,VICI,ticker+date
CG,headline,22.0,6.699,,The Carlyle Group LP,2012-05-02,ritter-anchor,med,CG,ticker+date
PAGS,headline,21.5,6.6931010805,,Pagseguro Digital Ltd.,2018-01-24,auto:ritter+yf,high,PAGS,ticker+date
GOCO,headline,21.0,6.585227943,,GoHealth Inc,2020-07-15,ritter-anchor,med,GOCO,ticker+date
ONON,headline,24.0,6.576552120000001,,On Holding AG,2021-09-15,auto:edgar+ritter,high,ONON,ticker+date
BMBL,headline,43.0,6.5448688145,,Bumble Inc,2021-02-11,auto:edgar+ritter,high,BMBL,ticker+date
STNE,headline,24.0,6.541621548,,StoneCo Ltd,2018-10-25,auto:ritter+yf,high,STNE,ticker+date
SHC,headline,23.0,6.442311097499999,,Sotera Health Co,2020-11-20,auto:edgar+yf,high,SHC,ticker+date
NIO,headline,6.26,6.4165,,Nio Inc,2018-09-12,single:yf,low,NIO,ticker+date
COTY,headline,17.5,6.3865725,,Coty Inc,2013-06-12,auto:ritter+yf,high,COTY,ticker+date
LEVI,headline,17.0,6.3366563895,,Levi Strauss & Co,2019-03-21,auto:ritter+yf,high,LEVI,ticker+date
BLCO,headline,18.0,6.3328679999999995,,Bausch + Lomb Corporation,2022-05-06,auto:edgar+yf,high,BLCO,ticker+date
AS,headline,13.0,6.2985,,"Amer Sports, Inc.",2024-02-01,single:yf,low,AS,ticker+date
INVH,headline,20.0,6.2075362599999995,,Invitation Homes Inc,2017-02-01,auto:edgar+yf,high,INVH,ticker+date
STVN,headline,21.0,6.206340756,,Stevanato Group SpA,2021-07-16,auto:edgar+ritter+yf,high,STVN,ticker+date
DLO,headline,21.0,6.1512335325,,dLocal Ltd,2021-06-03,auto:ritter+yf,high,DLO,ticker+date
GFL,headline,19.0,6.1486163245,,GFL Environmental Inc,2020-03-03,auto:ritter+yf,high,GFL,ticker+date
EDR,headline,24.0,6.090006504,,Endeavor Group Holdings Inc,2021-04-29,ritter-anchor,med,EDR,ticker+date
MNSO,headline,20.0,6.07950016,,MINISO Group Holding Ltd,2020-10-15,single:yf,low,MNSO,ticker+date
TW,headline,27.0,6.0506220105,,Tradeweb Markets Inc,2019-04-04,auto:ritter+yf,high,TW,ticker+date
RYAN,headline,23.5,6.00779714875,,"Ryan Specialty Group Holdings,",2021-07-22,auto:ritter+yf,high,RYAN,ticker+date
BRZE,headline,65.0,5.8666290475,,"Braze, Inc.",2021-11-17,auto:ritter+yf,high,BRZE,ticker+date
FTCH,headline,20.0,5.8571819,,Farfetch Ltd,2018-09-21,ritter-anchor,med,FTCH,ticker+date
GTES,headline,19.0,5.8093296005,,Gates Industrial Corp Plc,2018-01-25,auto:edgar+yf,high,GTES,ticker+date
RBRK,headline,32.0,5.621859392,,"Rubrik, Inc.",2024-04-25,auto:ritter+yf,high,RBRK,ticker+date
BSY,headline,22.0,5.619544909,,Bentley Systems Inc,2020-09-23,auto:ritter+yf,high,BSY,ticker+date
ULS,headline,28.0,5.6,,UL Solutions Inc.,2024-04-12,auto:edgar+ritter+yf,high,ULS,ticker+date
ALAB,headline,36.0,5.547551417999999,,Astera Labs Inc,2024-03-20,auto:edgar+yf,high,ALAB,ticker+date
DDL,headline,23.5,5.538503312,,Dingdong (Cayman) Ltd,2021-06-29,single:yf,low,DDL,ticker+date
TIXT,headline,25.0,5.4782469,,TELUS International (Cda) Inc,2021-02-03,ritter-anchor,med,TIXT,ticker+date
LZ,headline,28.0,5.474235536,,Legalzoom.Com Inc,2021-06-30,auto:edgar+yf,high,LZ,ticker+date
TTAN,headline,71.0,5.446592399,,ServiceTitan Inc.,2024-12-12,ritter-anchor,med,TTAN,ticker+date
ABCL,headline,20.0,5.368778880000001,,AbCellera Biologics Inc,2020-12-11,auto:edgar+yf,high,ABCL,ticker+date
REYN,headline,26.0,5.360231396,,Reynolds Consumer Products Inc,2020-01-31,auto:edgar+yf,high,REYN,ticker+date
SGFY,headline,24.0,5.319044712,,Signify Health Inc,2021-02-11,ritter-anchor,med,SGFY,ticker+date
BRX,headline,20.0,5.2817896,,Brixmor Property Group,2013-10-30,auto:edgar+yf,high,BRX,ticker+date
FIGR,headline,25.0,5.2129122,,"Figure Technology Solutions, I",2025-09-11,ritter-anchor,med,FIGR,ticker+date
INGM,headline,22.0,5.166162782,,Ingram Micro Holding Corp,2024-10-24,single:edgar,low,INGM,ticker+date
USFD,headline,23.0,5.0740039295,,US Foods Holding Corp,2016-05-26,auto:edgar+yf,high,USFD,ticker+date
OS,headline,20.0,5.04891842,,"OneStream, Inc.",2024-07-24,ritter-anchor,med,OS,ticker+date
