ticker,ritter_ticker,name,first_trade,yf_first_trade,year,offer_price,adr,ritter_shares,edgar_shares,yf_shares,est_edgar,est_yf,est_ritter,mcap_listing_b,mcap_src,mcap_conf,match_method,bucket,reason
BBIO,BBIO,BridgeBio Pharma Inc,2019-06-27,2019-06-27,2019,17.0,1.0,,116755512.0,120000000.0,1.984843704,2.04,,2.012421852,auto:edgar+yf,high,ticker+date,drop,~$2.0B at listing (well below $5B)
API,API,Agora Inc,2020-06-26,2020-06-26,2020,20.0,2.0,396897929.0,415014994.0,100195000.0,,2.0039,,2.0039,single:yf,low,ticker+date,drop,~$2.0B at listing (well below $5B)
TVPT,TVPT,Travelport Worldwide Ltd,2014-09-25,2014-09-25,2014,16.0,1.0,,,123504000.0,,1.976064,,1.976064,single:yf,low,ticker+date,drop,~$2.0B at listing (well below $5B)
CRTO,CRTO,Criteo SA,2013-10-30,2013-10-30,2013,31.0,2.0,,,63616200.0,,1.9721022,,1.9721022,single:yf,low,ticker+date,drop,~$2.0B at listing (well below $5B)
PFGC,PFGC,Performance Food Group Co,2015-10-01,2015-09-30,2015,19.0,1.0,,102583161.0,102583000.0,1.949080059,1.949077,,1.9490785295,auto:edgar+yf,high,ticker+date,drop,~$1.9B at listing (well below $5B)
AVIR,AVIR,Atea Pharmaceuticals Inc,2020-10-30,2020-10-30,2020,24.0,1.0,,82616937.0,79241904.0,1.982806488,1.901805696,,1.942306092,auto:edgar+yf,high,ticker+date,drop,~$1.9B at listing (well below $5B)
SIR,SIR,Select Income REIT,2012-03-06,2012-03-07,2012,21.5,1.0,,,89374000.0,,1.921541,,1.921541,single:yf,low,ticker+date,drop,~$1.9B at listing (well below $5B)
TSLA,TSLA,Tesla Motors Inc,2010-06-28,2010-06-29,2010,17.0,1.0,,94908370.0,130951000.0,1.61344229,2.226167,,1.919804645,auto:edgar+yf,high,ticker+date,drop,~$1.9B at listing (well below $5B)
GO,GO,Grocery Outlet Holding Corp,2019-06-20,2019-06-20,2019,22.0,1.0,,88355118.0,85703600.0,1.943812596,1.8854792,,1.9146458979999998,auto:edgar+yf,high,ticker+date,drop,~$1.9B at listing (well below $5B)
ZS,ZS,Zscaler Inc,2018-03-16,2018-03-16,2018,16.0,1.0,,119606722.0,117332000.0,1.913707552,1.877312,,1.895509776,auto:edgar+yf,high,ticker+date,drop,~$1.9B at listing (well below $5B)
ERAS,ERAS,Erasca Inc,2021-07-16,2021-07-16,2021,16.0,1.0,,121219865.0,114893000.0,1.93951784,1.838288,,1.88890292,auto:edgar+yf,high,ticker+date,drop,~$1.9B at listing (well below $5B)
ZIP,ZIP,Zipcar Inc,2011-04-13,2021-05-26,2011,18.0,1.0,,,104600000.0,,1.8828,,1.8828,single:yf,low,ticker+date,drop,ticker reused by another company (yfinance first trade 2021-05-26 != IPO 2011-04-13)
NVCR,NVCR,Novocure Ltd,2015-10-02,2015-10-01,2015,22.0,1.0,,83618701.0,83618700.0,1.839611422,1.8396114,,1.839611411,auto:edgar+yf,high,ticker+date,drop,~$1.8B at listing (well below $5B)
CTRI,CTRI,"Centuri Holdings, Inc.",2024-04-19,2024-04-19,2024,21.0,1.0,,88517521.0,86657504.0,1.858867941,1.819807584,,1.8393377625,auto:edgar+yf,high,ticker+date,drop,~$1.8B at listing (well below $5B)
